,source,author,title,description,url,urlToImage,publishedAt,content
10,"{'id': 'reuters', 'name': 'Reuters'}",Victoria Waldersee,Explainer-Why are BMW and Daimler being sued over climate change? - Reuters.com,"German activists have filed a lawsuit against automakers BMW and Daimler for refusing to tighten carbon emissions goals, the first time German citizens have sued private companies for exacerbating climate change.",https://www.reuters.com/article/climate-change-germany-court-explainer-idUSKBN2GH0C5,https://static.reuters.com/resources/r/?m=02&d=20210921&t=2&i=1575430832&r=LYNXMPEH8K05J&w=800,2021-09-21T06:03:00Z,"BERLIN (Reuters) - German activists have filed a lawsuit against automakers BMW and Daimler for refusing to tighten carbon emissions goals, the first time German citizens have sued private companies … [+5301 chars]"
11,"{'id': 'reuters', 'name': 'Reuters'}",,Electric vehicles may cut global refining capacity demand by half in 2050 - Rystad - Reuters,"A global drive towards electrification of road transport to reduce carbon emissions may cut demand for the world's oil refining capacity by half in 2050, consultancy Rystad Energy says.",https://www.reuters.com/business/autos-transportation/electric-vehicles-may-cut-global-refining-capacity-demand-by-half-2050-rystad-2021-09-21/,https://www.reuters.com/resizer/9ALLmXxKmRAPmaHvKqHD983VNyU=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/JKNIGBOFPZKQFLM3XBNJ2PR7BA.jpg,2021-09-21T07:00:00Z,"FILE PHOTO: Heavy vehicular traffic is seen in the Ocean Beach neighbourhood of San Diego, California, U.S., ahead of the Fourth of July holiday July 3, 2020. REUTERS/Bing Guan/File PhotoSINGAPORE, S… [+1671 chars]"
12,"{'id': 'the-next-web', 'name': 'The Next Web'}",The Conversation,"Climate change is an infrastructure problem, just look at this EV charger map","Most of America’s 107,000 gas stations can fill several cars every five or 10 minutes at multiple pumps. Not so for electric vehicle chargers – at least not yet. Today the U.S. has around 43,000 public EV charging stations, with about 106,000 outlets. Each ou…",https://thenextweb.com/news/climate-change-is-an-infrastructure-problem-look-at-this-ev-charger-map-us-syndication,https://img-cdn.tnwcdn.com/image/shift?filter_last=1&fit=1280%2C640&url=https%3A%2F%2Fcdn0.tnwcdn.com%2Fwp-content%2Fblogs.dir%2F1%2Ffiles%2F2021%2F08%2FUntitled-design-8-3.jpg&signature=6c30c46e027952a53b0809dc79736e18,2021-08-31T17:00:40Z,"Most of Americas 107,000 gas stations can fill several cars every five or 10 minutes at multiple pumps. Not so for electric vehicle chargers at least not yet. Today the U.S. has around 43,000 public … [+7517 chars]"
13,"{'id': 'cnn', 'name': 'CNN'}","Hanna Ziady, CNN Business",The climate can't wait for electric planes. Sustainable fuel may be the answer,"More than 50 airlines, oil companies and other companies, including Delta, BP and Boeing, pledged on Wednesday to replace 10% of global jet fuel supply with sustainable aviation fuel (SAF) by 2030.",https://www.cnn.com/2021/09/22/business/airline-oil-companies-sustainable-aviation-fuels/index.html,https://cdn.cnn.com/cnnnext/dam/assets/210922091158-biofuel-air-france-klm-france-051821-file-super-tease.jpg,2021-09-22T18:08:40Z,"London (CNN Business)More than 50 airlines, oil companies and other companies, including Delta(DAL), BP(BP) and Boeing(BA), pledged on Wednesday to replace 10% of global jet fuel supply with sustaina… [+8309 chars]"
14,"{'id': None, 'name': 'Zacks.com'}",Zacks Equity Research,Tesla (TSLA) to Make Inroads Into India With Nod to 4 Vehicles,Tesla (TSLA) inches closer to its foray into India after four of its vehicle variants clear the homologation test.,http://www.zacks.com/stock/news/1789930/tesla-tsla-to-make-inroads-into-india-with-nod-to-4-vehicles?cid=CS-ENTREPRENEUR-FT-analyst_blog|company_news_-_corporate_actions-1789930,https://assets.entrepreneur.com/providers/zacks/hero-image-zacks-383102.jpeg,2021-09-01T17:56:00Z,"September
1, 2021
6 min read
This story originally appeared on ZacksTesla Inc.TSLA is set to hit the Indian roads soon with the Union transport ministry approving four of its models for production… [+6694 chars]"
15,"{'id': None, 'name': 'Theepochtimes.com'}",The Epoch Times,Electric Vehicles Will Usher in New Pennsylvania Regulations,The future of electric vehicles in Pennsylvania was the topic of several discussions at the statehouse Monday.,https://www.theepochtimes.com/electric-vehicles-will-usher-in-new-pennsylvania-regulations_4019130.html,https://assets.entrepreneur.com/content/3x2/2000/1632860770-GettyImages-921880182.jpg,2021-09-28T20:26:23Z,"News Analysis 
Ready or not, the pressure for companies and individuals to adopt electric transportation is lurching forward along with new regulations that will likely be felt by all.
The future o… [+5974 chars]"
16,"{'id': 'the-next-web', 'name': 'The Next Web'}",Ioanna Lykiardopoulou,Royal Mail tests eeny-weeny EVs for UK deliveries,"Did you know SHIFT is taking the stage this fall? Together with an amazing line-up of experts, we will explore the future of mobility during TNW Conference 2021. Secure your ticket now! Royal Mail has committed to the full electrification of its vehicles by 2…",https://thenextweb.com/news/royal-mail-tests-eeny-weeny-evs-for-uk-deliveries,https://img-cdn.tnwcdn.com/image/shift?filter_last=1&fit=1280%2C640&url=https%3A%2F%2Fcdn0.tnwcdn.com%2Fwp-content%2Fblogs.dir%2F1%2Ffiles%2F2021%2F09%2FUntitled-design-15-13.jpg&signature=94cae9987cc6fb2400038affaa44278f,2021-09-21T08:21:08Z,"Did you know SHIFT is taking the stage this fall? Together with an amazing line-up of experts, we will explore the future of mobility during TNW Conference 2021. Secure your ticket now!
Royal Mail h… [+1973 chars]"
17,"{'id': 'the-next-web', 'name': 'The Next Web'}",Ioanna Lykiardopoulou,World’s first cobalt-free EV batteries finally launched — here’s why it matters,Chinese EV battery manufacturer SVOLT has unveiled what it claims to be the world’s first cobalt-free battery. At Chengdu Motor Show the company showcased its innovative battery pack inside an Ora Cherry Cat from Chinese automaker Great Wall Motors.  And that…,https://thenextweb.com/news/worlds-first-cobalt-free-ev-batteries-finally-launched-svolt-heres-why-it-matters,https://img-cdn.tnwcdn.com/image/shift?filter_last=1&fit=1280%2C640&url=https%3A%2F%2Fcdn0.tnwcdn.com%2Fwp-content%2Fblogs.dir%2F1%2Ffiles%2F2021%2F08%2Fsvolt.jpg&signature=ea5ac4882b57818b604aad7337e02705,2021-08-31T13:27:49Z,"Chinese EV battery manufacturer SVOLT has unveiled what it claims to be the worlds first cobalt-free battery.
At Chengdu Motor Show the company showcased its innovative battery pack inside an Ora Ch… [+2633 chars]"
18,"{'id': None, 'name': 'Zacks.com'}",Zacks Equity Research,Shell (RDS.A) Announces Plans on EV Charging Expansion in UK,Shell (RDS.A) will assist the local administration in the UK cities and states by committing to cover the upfront installation costs that are not fund...,http://www.zacks.com/stock/news/1790647/shell-rds-a-announces-plans-on-ev-charging-expansion-in-uk?cid=CS-ENTREPRENEUR-FT-analyst_blog|company_news_-_energy_sector-1790647,https://assets.entrepreneur.com/providers/zacks/hero-image-zacks-383433.jpeg,2021-09-02T19:02:00Z,"September
2, 2021
4 min read
This story originally appeared on ZacksRoyal Dutch Shell plc. (RDS.A) recently announced that it will expand its network of electric-vehicle charging stations in the U… [+4837 chars]"
19,"{'id': 'reuters', 'name': 'Reuters'}",Ron Bousso,Shell to vastly expand EV charging network in Britain - Reuters,"Royal Dutch Shell <a href=""https://www.reuters.com/companies/RDSa.L"" target=""_blank"">(RDSa.L)</a> on Wednesday announced plans to vastly expand its network of electric vehicle charging points in Britain, aiming to install 50,000 on-street posts by 2025.",https://www.reuters.com/technology/shell-vastly-expand-ev-charging-network-britain-2021-08-31/,https://www.reuters.com/resizer/WZUxDB5-j59xnUBsfrnywBhgBqk=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/UGBVH3INBFORFPDQDGAZ4YAXUY.jpg,2021-08-31T23:03:00Z,"The logo of Royal Dutch Shell is pictured during a launch event for a hydrogen electrolysis plant at Shell's Rhineland refinery in Wesseling near Cologne, Germany, July 2, 2021. REUTERS/Thilo Schmuel… [+1363 chars]"
20,"{'id': None, 'name': 'StockNews.com'}",Pragya Pandey,Avoid These 2 Electric Vehicle Stocks Bank of America Downgraded,"In the face of a global semiconductor chip shortage, the electric vehicle (EV) industry is struggling. Because several manufacturers plan production c...",https://stocknews.com/news/fsr-ride-avoid-these-2-electric-vehicle-stocks-bank-of-america-downgraded/,https://assets.entrepreneur.com/providers/stocknews/hero-image-stocknews-386531.jpeg,2021-09-20T14:37:02Z,"In the face of a global semiconductor chip shortage, the electric vehicle (EV) industry is struggling. Because several manufacturers plan production cuts due to the chip crunch, the industry is expec… [+5075 chars]"
21,"{'id': None, 'name': 'The Guardian'}",Bernhard Isopp,Why aren’t more big bike firms tracking their environmental impact?,"Trek’s sustainability report appears to be the first of its kind in a sector that has had a free ride on the issueTrek, one of the world’s biggest bicycle brands, recently released its sustainability report for 2021. Remarkably, this appears to be the first t…",https://amp.theguardian.com/environment/bike-blog/2021/sep/23/why-arent-more-big-bike-firms-tracking-their-environmental-impact,https://i.guim.co.uk/img/media/2c8a927aa8f72295faddda6d0b15bf0b00804d4f/693_0_4779_2867/master/4779.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=62441ecbab0cf820cf8f080d6b19be79,2021-09-23T06:00:41Z,"Trek, one of the worlds biggest bicycle brands, recently released its sustainability report for 2021. Remarkably, this appears to be the first time a major bike company has published such a document.… [+6827 chars]"
22,"{'id': 'reuters', 'name': 'Reuters'}",,China's new infrastructure still relies on carbon-intensive supply chains - Greenpeace - Reuters,"A report from environmental group Greenpeace found that new Chinese infrastructure still relies on carbon-intensive supply chains, though they emitted less carbon than traditional infrastructure last year.",https://www.reuters.com/business/environment/chinas-new-infrastructure-still-relies-carbon-intensive-supply-chains-greenpeace-2021-09-29/,https://www.reuters.com/resizer/2DEW4tUWOMiKBewEZWppK2N7qT4=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/GIKMW2NKTJPPFOXUKPR737AW3Y.jpg,2021-09-29T01:07:00Z,"Workers walk through the Yujiapu financial centre, in Tianjin, China February 22, 2016. REUTERS/Jason LeeSHANGHAI, Sept 29 (Reuters) - A report from environmental group Greenpeace found that new Chin… [+1837 chars]"
23,"{'id': None, 'name': 'The Guardian'}",Gwyn Topham Transport correspondent,"Shell aims to install 50,000 on-street EV charge points by 2025","Oil firm sets out plans to provide a third of Britain’s network needed to hit climate targetsShell has announced its aim to install 50,000 on-street electric vehicle (EV) charging points in the UK over the next four years, in an attempt to provide a third of …",https://amp.theguardian.com/business/2021/sep/01/shell-on-street-ev-charge-points-2025,https://i.guim.co.uk/img/media/b99f6531c72c5fbc4d87c045d80b5b95d09d8fc8/0_0_5472_3283/master/5472.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=b9d44befcb920171a1553325ea26febb,2021-09-01T05:01:21Z,"Shell has announced its aim to install 50,000 on-street electric vehicle (EV) charging points in the UK over the next four years, in an attempt to provide a third of the network needed to hit nationa… [+2294 chars]"
24,"{'id': 'reuters', 'name': 'Reuters'}",,Vitol plans electric-hybrid bunker tankers for Singapore - Reuters,"Vitol's Singaporean bunker operations company, V-Bunkers, has placed an order to build two electric-hybrid bunker tankers to be deployed at the world's largest marine refuelling hub in Singapore, the company said in a statement.",https://www.reuters.com/world/asia-pacific/vitol-plans-electric-hybrid-bunker-tankers-singapore-2021-09-17/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=52,2021-09-17T09:40:00Z,"Singapore, Sept 17 (Reuters) - Vitol's Singaporean bunker operations company, V-Bunkers, has placed an order to build two electric-hybrid bunker tankers to be deployed at the world's largest marine r… [+882 chars]"
25,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Kirsten Korosec,"The Station: Apple car shakeup, how Sept. 11 changed travel, and a pledge from airlines","The Station is a weekly newsletter dedicated to all things transportation. Sign up here — just click The Station — to receive it every weekend in your inbox. Hi readers: Welcome to The Station, your central hub for all past, present and future means of moving…",http://techcrunch.com/2021/09/13/the-station-apple-car-shakeup-how-sept-11-changed-travel-and-a-pledge-from-airlines/,https://techcrunch.com/wp-content/uploads/2021/09/sept.11-zack-whittaker.jpg?w=400,2021-09-13T11:00:04Z,"The Station is a weekly newsletter dedicated to all things transportation. Sign up here just click The Station to receive it every weekend in your inbox.
Hi readers: Welcome to The Station, your cen… [+21202 chars]"
26,"{'id': 'reuters', 'name': 'Reuters'}",Reuters,Fintech firm Ideanomics to buy VIA Motors for nearly $630 mln - Reuters,"Financial technology company Ideanomics Inc <a href=""https://www.reuters.com/companies/IDEX.O"" target=""_blank"">(IDEX.O)</a> said on Monday that it will acquire VIA Motors International Inc in an all-stock deal that would value the electric commercial vehicle …",https://www.reuters.com/business/autos-transportation/fintech-firm-ideanomics-buy-via-motors-nearly-630-mln-2021-08-30/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=50,2021-08-30T09:05:00Z,Aug 30 (Reuters) - Financial technology company Ideanomics Inc (IDEX.O) said on Monday that it will acquire VIA Motors International Inc in an all-stock deal that would value the electric commercial … [+1526 chars]
27,"{'id': 'reuters', 'name': 'Reuters'}",,Surge in electric vehicle sales power lithium prices as shortages loom - Reuters,"Lithium prices have jumped to their highest in more than three years thanks to an upsurge in electric vehicle sales, depleting stocks of the battery material in top consumer China.",https://www.reuters.com/business/autos-transportation/surge-electric-vehicle-sales-power-lithium-prices-shortages-loom-2021-09-13/,https://www.reuters.com/resizer/dXy5tBEEpfFY9j-Vyp33Xn1LU0Y=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/KLPIDKNV7BMATI5BK5M6S5FQMI.jpg,2021-09-13T13:35:00Z,"A electric car charging station is pictured in a parking lot in Shanghai, China March 13, 2021. REUTERS/Aly Song/File PhotoLONDON, Sept 13 (Reuters) - Lithium prices have jumped to their highest in m… [+2500 chars]"
28,"{'id': None, 'name': 'The Guardian'}",Miles Brignall,Why is this clean hybrid car taxed at almost the same rate as a Ferrari?,A retired bishop faces a bigger tax bill after swapping his old diesel VW for an environmentally friendly vehicleA retired bishop who replaced a polluting diesel car with a much greener plug-in hybrid model has described the government’s environmental policie…,https://amp.theguardian.com/money/2021/sep/11/why-is-this-clean-hybrid-car-taxed-at-almost-the-same-rate-as-a-ferrari,https://i.guim.co.uk/img/media/557d3f549ddf9f7dff6cc79cd06e259334ccfb81/0_429_4032_2419/master/4032.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=e7999ebb8dfc1e057551709d044c11ad,2021-09-11T08:00:18Z,A retired bishop who replaced a polluting diesel car with a much greener plug-in hybrid model has described the governments environmental policies as completely mad after his road tax rose from zero … [+3567 chars]
29,"{'id': None, 'name': 'Blogspot.com'}",noreply@blogger.com (Unknown),Why have Elon Musk and Tesla suddenly turned against bitcoin?,"Elon Musk has performed a sudden U-turn on bitcoin over concerns about its energy usage, and says his electric car firm Tesla will no longer accept the cryptocurrency as payment – but will his decision have an impact, and could Tesla turn to an alternative cu…",https://techncruncher.blogspot.com/2021/09/why-have-elon-musk-and-tesla-suddenly.html,https://blogger.googleusercontent.com/img/a/AVvXsEh20SgNNsDlKyWWmB7XgB5SfFY10M6CqJAq93HwGtssTn2cWz6w9zHPjXf91WwoWr27QeaC4HsGv2NxPOXUdvk6xodUojnw8rUuAkEMY3Qb4ucoVpN3nSyF8JW_xVDWa2aSMEWH387hPsfouSJyClLNburIcDbXIeJamuTHwiSvw4hdNnqeeICcvg1wrQ=w1200-h630-p-k-no-nu,2021-09-28T20:03:00Z,"Elon Musk has performed a sudden U-turn on bitcoin over concerns about its energy usage, and says his electric car firm Tesla will no longer accept the cryptocurrency as payment – but will his decisi… [+3069 chars]"
30,"{'id': 'reuters', 'name': 'Reuters'}",,"Sri Lanka to cease building coal-fired plants, aims to be net-zero emitter by 2050 - Reuters","Sri Lanka will cease building new coal-fired power plants and  achieve net-zero carbon emissions by 2050, President Gotabaya Rajapaksa said in an address to the United Nations International Energy Forum on Friday.",https://www.reuters.com/business/sustainable-business/sri-lanka-cease-building-coal-fired-plants-aims-be-net-zero-emitter-by-2050-2021-09-24/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=53,2021-09-24T18:47:00Z,"COLOMBO, Sept 24 (Reuters) - Sri Lanka will cease building new coal-fired power plants and achieve net-zero carbon emissions by 2050, President Gotabaya Rajapaksa said in an address to the United Nat… [+2220 chars]"
31,"{'id': 'the-next-web', 'name': 'The Next Web'}",Ioanna Lykiardopoulou,New York bans gas guzzler sales by 2035 — can more states follow suit already?,"Did you know SHIFT is taking the stage this fall? Together with an amazing line-up of experts, we will explore the future of mobility during TNW Conference 2021. Secure your ticket now! In 14 years from now, no more fossil fuel-powered vehicles will be sold i…",https://thenextweb.com/news/new-york-bans-gas-guzzler-sales-2035-can-more-states-follow-suit-already,https://img-cdn.tnwcdn.com/image/shift?filter_last=1&fit=1280%2C640&url=https%3A%2F%2Fcdn0.tnwcdn.com%2Fwp-content%2Fblogs.dir%2F1%2Ffiles%2F2021%2F09%2FUntitled-design-15-6.jpg&signature=2a29dca96a7ed67b7012bddd60622492,2021-09-15T11:23:10Z,"Did you know SHIFT is taking the stage this fall? Together with an amazing line-up of experts, we will explore the future of mobility during TNW Conference 2021. Secure your ticket now!
In 14 years … [+4047 chars]"
32,"{'id': None, 'name': 'Zacks.com'}",Zacks Equity Research,"General Motors' (GM) BrightDrop Unveils EV410, Completes EV600 Build","General Motors' (GM) BrightDrop introduces a second delivery van, the EV410, to its vehicle line-up and completes the first production build of the EV...",http://www.zacks.com/stock/news/1802300/general-motors-gm-brightdrop-unveils-ev410-completes-ev600-build?cid=CS-ENTREPRENEUR-FT-analyst_blog|company_news_-_corporate_actions-1802300,https://assets.entrepreneur.com/providers/zacks/hero-image-zacks-388319.jpeg,2021-09-29T10:27:00Z,"General MotorsGM commercial electric vehicle (EV) business BrightDrop recently announced plans to add a second van, the EV410, to its vehicle line-up in 2023. Verizon Communications, one of the large… [+5633 chars]"
33,"{'id': None, 'name': 'The Guardian'}",Kyla Mandel,One of the world’s largest retailers has a plan to tackle the climate crisis. Can it pull it off?,"Walmart is attempting to erase its huge climate footprint while continuing to sell tens of millions of low-priced productsEvery day a seemingly never-ending stream of toothbrushes, toilet paper, tape, thumbtacks, toys and other products criss-cross the globe …",https://amp.theguardian.com/environment/2021/sep/13/walmart-climate-change-plan-can-it-work,https://i.guim.co.uk/img/media/b2d6d26cf14949689ed6482c05edd540fe5f8113/0_59_5676_3409/master/5676.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=2c5d7d5af00d40a04c287fdb847dba4b,2021-09-13T10:00:18Z,"Every day a seemingly never-ending stream of toothbrushes, toilet paper, tape, thumbtacks, toys and other products criss-cross the globe from a network of suppliers to Walmarts more than 10,500 store… [+10950 chars]"
34,"{'id': 'reuters', 'name': 'Reuters'}",,Air New Zealand studying how to add low-emissions planes to fleet - Reuters,"Air New Zealand Ltd <a href=""https://www.reuters.com/companies/AIR.NZ"" target=""_blank"">(AIR.NZ)</a> said on Thursday it was studying how it could use low-carbon technologies like electric, hybrid or hydrogen powered planes to dramatically reduce emissions fro…",https://www.reuters.com/business/sustainable-business/air-new-zealand-studying-how-add-low-emissions-planes-fleet-2021-09-16/,https://www.reuters.com/resizer/BdOAp0czxeDocoPUZMut_lhJJ_Q=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/KNJFI6Q6PVIOVKMCXGYPW7TSQE.jpg,2021-09-16T03:01:00Z,"Travellers walk under an Air New Zealand sign at Auckland Airport in New Zealand, September 20, 2017. REUTERS/Nigel Marple/File PhotoSept 16 (Reuters) - Air New Zealand Ltd (AIR.NZ) said on Thursday … [+2383 chars]"
